epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3913,1.59787,3.43367,1.41307,0.77764,0.29577,0.3098,0.18474,1.38628,2.62509,1.33253,0.000141778,0.000141778,0.000141778
2,94.9758,1.4558,2.15083,1.29103,0.56892,0.28141,0.30768,0.16034,1.45835,3.16581,1.52257,0.0002811,0.0002811,0.0002811
3,153.214,1.4477,1.88235,1.28612,0.70005,0.19655,0.31405,0.19156,1.5746,2.45178,1.69433,0.000414679,0.000414679,0.000414679
4,207.566,1.45862,1.81628,1.3192,0.73428,0.28742,0.36498,0.22029,1.59314,3.13758,1.69044,0.000409161,0.000409161,0.000409161
5,258.948,1.44277,1.74644,1.32117,0.72281,0.359,0.40847,0.24959,1.42542,1.93875,1.48944,0.000400548,0.000400548,0.000400548
6,320.798,1.46178,1.65823,1.31933,0.56383,0.36583,0.4156,0.25793,1.50763,2.47625,1.53386,0.000391935,0.000391935,0.000391935
7,376.777,1.41185,1.57096,1.26156,0.47263,0.56285,0.52349,0.31981,1.40452,2.22512,1.47643,0.000383322,0.000383322,0.000383322
8,431.913,1.34327,1.32796,1.23186,0.63154,0.49568,0.58727,0.35721,1.41425,1.90574,1.49046,0.000374709,0.000374709,0.000374709
9,481.466,1.34593,1.38308,1.25074,0.4277,0.65057,0.58003,0.3501,1.37505,1.45758,1.45162,0.000366096,0.000366096,0.000366096
10,539.716,1.29666,1.26299,1.19225,0.62391,0.48866,0.52916,0.34269,1.28674,1.5021,1.34917,0.000357483,0.000357483,0.000357483
11,597.747,1.26881,1.24284,1.22377,0.47479,0.67719,0.70267,0.44381,1.33864,1.30744,1.41012,0.00034887,0.00034887,0.00034887
12,666.187,1.22595,1.14327,1.16607,0.65636,0.5711,0.64577,0.39615,1.3289,1.51268,1.39933,0.000340257,0.000340257,0.000340257
13,718.104,1.23695,1.10298,1.17014,0.48532,0.69217,0.726,0.45944,1.31179,1.20472,1.3732,0.000331644,0.000331644,0.000331644
14,777.289,1.20138,1.0221,1.13564,0.79791,0.54852,0.6682,0.43178,1.25134,1.18777,1.35717,0.000323031,0.000323031,0.000323031
15,835.387,1.19386,1.03077,1.15818,0.67475,0.67494,0.70425,0.43973,1.28351,1.14649,1.37546,0.000314418,0.000314418,0.000314418
16,893.15,1.17813,0.99171,1.13055,0.69392,0.71063,0.7745,0.47762,1.31626,1.13104,1.43295,0.000305805,0.000305805,0.000305805
17,936.313,1.14557,0.93669,1.13186,0.61609,0.69999,0.72199,0.44838,1.24854,1.076,1.35479,0.000297192,0.000297192,0.000297192
18,1000.42,1.16776,0.90346,1.12544,0.64511,0.70192,0.7061,0.46958,1.23039,1.06137,1.32851,0.000288579,0.000288579,0.000288579
19,1042.07,1.15078,0.95546,1.16419,0.68228,0.66015,0.72674,0.44764,1.207,0.99486,1.27247,0.000279966,0.000279966,0.000279966
20,1106.28,1.09809,0.83562,1.09609,0.67236,0.64577,0.70918,0.45433,1.23428,1.00326,1.30148,0.000271353,0.000271353,0.000271353
21,1154.37,1.14347,0.9232,1.09877,0.7483,0.64392,0.69194,0.45106,1.23091,1.03306,1.32664,0.00026274,0.00026274,0.00026274
